# Jiukong first-party phrase lexicon. See README.md.
測試	ㄘㄜˋ ㄕˋ
測試中	ㄘㄜˋ ㄕˋ ㄓㄨㄥ
稍後	ㄕㄠ ㄏㄡˋ
請稍後	ㄑㄧㄥˇ ㄕㄠ ㄏㄡˋ
測試中請稍後	ㄘㄜˋ ㄕˋ ㄓㄨㄥ ㄑㄧㄥˇ ㄕㄠ ㄏㄡˋ
輸入	ㄕㄨ ㄖㄨˋ
輸入法	ㄕㄨ ㄖㄨˋ ㄈㄚˇ
注音	ㄓㄨˋ ㄧㄣ
注音符號	ㄓㄨˋ ㄧㄣ ㄈㄨˊ ㄏㄠˋ
中文	ㄓㄨㄥ ㄨㄣˊ
繁體中文	ㄈㄢˊ ㄊㄧˇ ㄓㄨㄥ ㄨㄣˊ
候選	ㄏㄡˋ ㄒㄩㄢˇ
候選字	ㄏㄡˋ ㄒㄩㄢˇ ㄗˋ
連續	ㄌㄧㄢˊ ㄒㄩˋ
連續輸入	ㄌㄧㄢˊ ㄒㄩˋ ㄕㄨ ㄖㄨˋ
正確	ㄓㄥˋ ㄑㄩㄝˋ
選擇	ㄒㄩㄢˇ ㄗㄜˊ
無法	ㄨˊ ㄈㄚˇ
可以	ㄎㄜˇ ㄧˇ
不能	ㄅㄨˋ ㄋㄥˊ
完成	ㄨㄢˊ ㄔㄥˊ
繼續	ㄐㄧˋ ㄒㄩˋ
現在	ㄒㄧㄢˋ ㄗㄞˋ
還有	ㄏㄞˊ ㄧㄡˇ
什麼	ㄕㄣˊ ˙ㄇㄜ
沒有	ㄇㄟˊ ㄧㄡˇ
已經	ㄧˇ ㄐㄧㄥ
需要	ㄒㄩ ㄧㄠˋ
問題	ㄨㄣˋ ㄊㄧˊ
功能	ㄍㄨㄥ ㄋㄥˊ
設定	ㄕㄜˋ ㄉㄧㄥˋ
系統	ㄒㄧˋ ㄊㄨㄥˇ
安裝	ㄢ ㄓㄨㄤ
使用	ㄕˇ ㄩㄥˋ
專案	ㄓㄨㄢ ㄢˋ
程式	ㄔㄥˊ ㄕˋ
開發	ㄎㄞ ㄈㄚ
程式碼	ㄔㄥˊ ㄕˋ ㄇㄚˇ
資料	ㄗ ㄌㄧㄠˋ
資料庫	ㄗ ㄌㄧㄠˋ ㄎㄨˋ
檔案	ㄉㄤˇ ㄢˋ
網路	ㄨㄤˇ ㄌㄨˋ
電腦	ㄉㄧㄢˋ ㄋㄠˇ
軟體	ㄖㄨㄢˇ ㄊㄧˇ
鍵盤	ㄐㄧㄢˋ ㄆㄢˊ
字典	ㄗˋ ㄉㄧㄢˇ
詞庫	ㄘˊ ㄎㄨˋ
自製	ㄗˋ ㄓˋ
久空	ㄐㄧㄡˇ ㄎㄨㄥ
台灣	ㄊㄞˊ ㄨㄢ
臺灣	ㄊㄞˊ ㄨㄢ
今天	ㄐㄧㄣ ㄊㄧㄢ
明天	ㄇㄧㄥˊ ㄊㄧㄢ
時間	ㄕˊ ㄐㄧㄢ
工作	ㄍㄨㄥ ㄗㄨㄛˋ
你好	ㄋㄧˇ ㄏㄠˇ
謝謝	ㄒㄧㄝˋ ˙ㄒㄧㄝ
謝謝	ㄒㄧㄝˋ ㄒㄧㄝˋ
我們	ㄨㄛˇ ˙ㄇㄣ
你們	ㄋㄧˇ ˙ㄇㄣ
他們	ㄊㄚ ˙ㄇㄣ
